customer_id,full_name,sex,marital_status,date_of_birth,email,phone,address,city,province,postal_code,last_address_change_date
CUS_00000,Nuria Romero Morales,Female,Single,1942-10-07,nuria.romero712@outlook.com,+34 653 624 446,333 Ash Ln,Fuenlabrada,Madrid,11384,
CUS_00001,Beatriz Ortiz González,Female,Married,1945-11-14,beatriz.ortiz346@yahoo.es,+34 687 251 423,167 Pine St,Getafe,Madrid,47182,2023-05-20
CUS_00002,Carlos Ruiz Ramírez,Male,Widow,1968-01-11,carlos.ruiz994@hotmail.com,+34 679 551 655,291 Alder Pl,Castellón,Castellón,44340,2024-02-03
CUS_00006,Ana Ramírez Pérez,Female,Married,1955-11-12,ana.ramirez47@yahoo.es,+34 674 590 903,230 Holly St,Bilbao,Vizcaya,13961,2023-02-15
CUS_00007,Pablo Martínez Molina,Male,Single,1963-06-08,pablo.martinez553@hotmail.com,+34 670 390 683,426 Cedar Dr,Huelva,Huelva,10058,2024-02-11
CUS_00008,Manuel López Martínez,Male,Single,1971-10-20,manuel.lopez396@telefonica.net,+34 649 498 637,447 Spruce Ln,Badajoz,Badajoz,35293,
CUS_00010,Beatriz López Ortega,Female,Married,2001-01-28,beatriz.lopez763@outlook.com,+34 678 745 370,25 Laurel Blvd,Sabadell,Barcelona,49027,
CUS_00011,Ana Medina Núñez,Female,Widow,1975-04-07,ana.medina901@gmail.com,+34 638 760 550,105 Olive Dr,Palma,Baleares,19854,
CUS_00012,Pilar Rubio Vázquez,Female,Married,1950-11-20,pilar.rubio81@outlook.com,+34 656 606 526,141 Maple Ct,Oviedo,Asturias,36521,2024-03-12
CUS_00013,Beatriz Ruiz Vázquez,Female,Married,1952-12-17,beatriz.ruiz159@gmail.com,+34 652 936 934,284 Alder Ct,Barcelona,Barcelona,33934,
CUS_00014,Javier Ruiz Álvarez,Male,Single,1968-04-13,javier.ruiz479@telefonica.net,+34 665 377 912,85 Poplar Dr,Logroño,La Rioja,15960,2022-07-10
CUS_00015,Luis Iglesias Rivera,Male,Married,1993-12-08,luis.iglesias697@outlook.com,+34 696 713 316,281 Cedar Ct,Málaga,Málaga,5005,2024-03-01
CUS_00017,Raquel Jiménez Serrano,Female,Divorced,1996-06-28,raquel.jimenez793@yahoo.es,+34 619 858 209,365 Olive St,Valladolid,Valladolid,2335,
CUS_00018,Raquel Molina García,Female,Married,1973-03-26,raquel.molina835@gmail.com,+34 665 254 351,85 Spruce St,Vigo,Pontevedra,31586,
CUS_00019,Antonio Gil Núñez,Male,Divorced,1958-05-01,antonio.gil54@mail.com,+34 688 191 827,385 Cherry Ln,Valencia,Valencia,24329,2025-03-28
CUS_00020,Álvaro Serrano Navarro,Male,Divorced,1981-11-11,alvaro.serrano145@gmail.com,+34 633 247 514,316 Poplar Dr,Sabadell,Barcelona,24807,2022-11-10
CUS_00021,Silvia Rivera Núñez,Female,Single,1970-06-01,silvia.rivera346@yahoo.es,+34 623 191 901,176 Cedar Rd,Gijón,Asturias,40160,
CUS_00022,Álvaro Rivera Núñez,Male,Single,1966-11-13,alvaro.rivera41@outlook.com,+34 632 241 564,301 Holly Ave,Valladolid,Valladolid,17795,2023-09-25
CUS_00023,Paula Moreno Serrano,Female,Single,1990-05-14,paula.moreno610@mail.com,+34 639 474 588,212 Beech Cir,Fuenlabrada,Madrid,30162,
CUS_00024,Laura Morales Marín,Female,Married,1988-02-21,laura.morales778@telefonica.net,+34 619 961 124,385 Cypress Ln,Sevilla,Sevilla,33233,
CUS_00025,Antonio Sánchez Castillo,Male,Single,1953-06-01,antonio.sanchez595@yahoo.es,+34 694 445 467,155 Magnolia Ln,Badajoz,Badajoz,7205,
