customer_id,full_name,sex,marital_status,date_of_birth,email,phone,address,city,province,postal_code,last_address_change_date
CUS_00003,Beatriz Castro Castillo,Female,Married,1994-11-28,beatriz.castro993@outlook.com,+34 677 369 750,212 Hazel St,Santander,Cantabria,52154,2024-03-14
CUS_00004,Cristina Torres Gil,Female,Widow,1999-11-25,cristina.torres721@yahoo.es,+34 644 696 373,378 Alder St,Murcia,Murcia,44172,
CUS_00005,María Domínguez Ramos,Female,Divorced,1999-08-19,maria.dominguez113@hotmail.com,+34 647 814 223,151 Willow Ln,Santander,Cantabria,1173,2025-02-02
CUS_00009,Cristina Torres Medina,Female,Single,1982-03-05,cristina.torres120@outlook.com,+34 623 216 283,243 Cypress Blvd,Oviedo,Asturias,6387,2025-04-26
CUS_00016,Raúl López Navarro,Male,Married,1968-08-28,raul.lopez308@mail.com,+34 625 365 209,79 Elm St,Elche,Alicante,13890,2024-04-01
CUS_00034,Paula Gil Ruiz,Female,Divorced,1964-08-25,paula.gil445@outlook.com,+34 692 532 662,359 Alder Ct,Bilbao,Vizcaya,47310,
CUS_00054,Andrés Hernández Ortiz,Male,Divorced,1962-02-08,andres.hernandez178@hotmail.com,+34 626 563 446,353 Alder Dr,Bilbao,Vizcaya,20706,2022-06-08
CUS_00055,Carlos Gómez Romero,Male,Married,1987-10-06,carlos.gomez172@mail.com,+34 641 883 712,309 Birch Ln,Málaga,Málaga,7057,
CUS_00064,Teresa Molina Blanco,Female,Single,1981-12-26,teresa.molina316@mail.com,+34 617 617 134,329 Laurel Ln,Palma,Baleares,14188,
CUS_00066,Sergio Pérez Hernández,Male,Married,1944-01-08,sergio.perez647@telefonica.net,+34 644 749 894,423 Walnut Ct,Cartagena,Murcia,22044,
CUS_00077,Javier Hernández Martínez,Male,Widow,1970-12-17,javier.hernandez923@gmail.com,+34 654 448 174,102 Cedar Rd,Vitoria,Álava,46578,
CUS_00094,Silvia Molina Morales,Female,Married,2005-05-23,silvia.molina306@telefonica.net,+34 644 171 783,113 Elm St,Bilbao,Vizcaya,6163,2024-01-03
CUS_00098,David Ramírez Castro,Male,Single,1986-10-21,david.ramirez973@mail.com,+34 678 420 580,141 Spruce Way,Santander,Cantabria,4364,2025-03-18
CUS_00114,Rafael Hernández Rubio,Male,Married,1983-07-05,rafael.hernandez451@gmail.com,+34 630 524 987,278 Ash Ave,Alicante,Alicante,51731,
CUS_00116,Francisco López García,Male,Single,1983-06-05,francisco.lopez984@outlook.com,+34 632 115 367,31 Cedar Blvd,Sabadell,Barcelona,21479,
CUS_00117,Adrián Suárez Rivera,Male,Married,1943-04-27,adrian.suarez209@mail.com,+34 687 244 856,456 Birch Ave,Coruña,A Coruña,18751,2024-01-18
CUS_00119,Sergio Ortiz Ramos,Male,Married,1991-09-16,sergio.ortiz585@yahoo.es,+34 641 352 366,368 Walnut Ct,Zaragoza,Zaragoza,16707,
CUS_00125,Fernando Romero Ramos,Male,Divorced,1987-02-25,fernando.romero808@mail.com,+34 690 582 593,181 Elm Way,Móstoles,Madrid,15235,
CUS_00126,Raquel Navarro González,Female,Married,1967-08-24,raquel.navarro696@gmail.com,+34 643 727 581,63 Cherry Ave,Vitoria,Álava,16543,
CUS_00127,Miguel Flores Molina,Male,Single,1967-09-01,miguel.flores436@mail.com,+34 665 671 264,344 Olive Rd,Fuenlabrada,Madrid,1217,
CUS_00130,Beatriz Reyes Serrano,Female,Single,1966-12-10,beatriz.reyes943@telefonica.net,+34 649 566 200,167 Beech Pl,Las Palmas,Las Palmas,17532,2022-04-18
CUS_00133,Antonio Hernández Vázquez,Male,Married,1953-08-25,antonio.hernandez3@hotmail.com,+34 629 307 684,423 Spruce Pl,Granada,Granada,6538,
